iter	Passed	Remaining
726	88773	33335
727	88889	33211
728	89010	33089
729	89140	32969
730	89263	32848
731	89383	32725
732	89509	32604
733	89626	32480
734	89744	32356
735	89857	32231
736	89979	32109
737	90098	31986
738	90219	31863
739	90332	31738
740	90455	31616
741	90567	31491
742	90683	31367
743	90801	31243
744	90912	31117
745	91025	30992
746	91145	30869
747	91257	30744
748	91373	30620
749	91487	30495
750	91606	30372
751	91717	30247
752	91830	30122
753	91945	29998
754	92064	29875
755	92178	29750
756	92298	29628
757	92482	29525
758	92670	29425
759	92870	29327
760	93059	29226
761	93263	29129
762	93470	29033
763	93661	28932
764	93863	28833
765	94080	28740
766	94287	28642
767	94496	28545
768	94723	28453
769	94870	28337
770	95020	28222
771	95167	28106
772	95324	27993
773	95464	27874
774	95612	27758
775	95753	27640
776	95907	27525
777	96059	27410
778	96202	27292
779	96336	27171
780	96479	27053
781	96608	26931
782	96746	26812
783	96873	26689
784	97022	26573
785	97154	26451
786	97288	26330
787	97427	26211
788	97562	26090
789	97681	25966
790	97813	25844
791	97937	25721
792	98070	25599
793	98201	25477
794	98346	25359
795	98484	25239
796	98629	25121
797	98762	25000
798	98899	24879
799	99042	24760
800	99179	24640
801	99322	24520
802	99460	24400
803	99607	24282
804	99749	24162
805	99879	24040
806	100012	23918
807	100148	23797
808	100297	23679
809	100424	23556
810	100562	23435
811	100705	23315
812	100844	23195
813	100986	23075
814	101127	22955
815	101265	22834
816	101410	22715
817	101552	22594
818	101697	22475
819	101839	22354
820	101983	22235
821	102132	22116
822	102272	21995
823	102428	21878
824	102572	21757
825	102699	21634
826	102833	21511
827	102971	21390
828	103112	21269
829	103255	21148
830	103395	21027
831	103530	20905
832	103671	20784
833	103828	20666
834	103964	20543
835	104092	20420
836	104223	20296
837	104353	20173
838	104486	20050
839	104631	19929
840	104769	19807
841	104905	19685
842	105048	19564
843	105174	19439
844	105308	19317
845	105430	19191
846	105549	19066
847	105663	18939
848	105794	18816
849	105910	18690
850	106028	18564
851	106149	18439
852	106278	18315
853	106403	18190
854	106522	18065
855	106630	17937
856	106750	17812
857	106858	17685
858	106976	17559
859	107092	17433
860	107211	17308
861	107321	17181
862	107439	17055
863	107558	16930
864	107691	16807
865	107826	16684
866	107947	16559
867	108062	16433
868	108191	16309
869	108301	16183
870	108431	16059
871	108547	15933
872	108665	15808
873	108781	15682
874	108898	15556
875	109020	15432
876	109137	15306
877	109250	15180
878	109369	15055
879	109483	14929
880	109602	14804
881	109715	14678
882	109839	14554
883	109954	14428
884	110074	14303
885	110190	14177
886	110312	14053
887	110436	13928
888	110562	13804
889	110679	13679
890	110797	13554
891	110912	13428
892	111036	13304
893	111147	13178
894	111262	13053
895	111380	12928
896	111505	12803
897	111616	12678
898	111736	12553
899	111852	12428
900	111990	12305
901	112109	12180
902	112237	12056
903	112354	11931
904	112478	11807
905	112591	11681
906	112713	11557
907	112823	11431
908	112943	11306
909	113059	11181
910	113185	11057
911	113304	10932
912	113420	10807
913	113531	10682
914	113646	10557
915	113761	10432
916	113882	10307
917	114000	10183
918	114144	10060
919	114289	9938
920	114408	9813
921	114523	9688
922	114645	9564
923	114759	9439
924	114879	9314
925	114990	9189
926	115103	9064
927	115222	8939
928	115338	8814
929	115458	8690
930	115580	8566
931	115692	8441
932	115808	8316
933	115926	8191
934	116051	8067
935	116166	7943
936	116305	7819
937	116427	7695
938	116551	7571
939	116677	7447
940	116818	7324
941	116945	7200
942	117068	7076
943	117187	6951
944	117309	6827
945	117423	6702
946	117547	6578
947	117662	6454
948	117779	6329
949	117903	6205
950	118025	6081
951	118147	5957
952	118264	5832
953	118376	5707
954	118502	5583
955	118611	5459
956	118731	5334
957	118846	5210
958	118966	5086
959	119083	4961
960	119198	4837
961	119312	4712
962	119431	4588
963	119548	4464
964	119741	4342
965	119942	4221
966	120137	4099
967	120367	3979
968	120560	3856
969	120734	3734
970	120867	3609
971	121018	3486
972	121174	3362
973	121310	3238
974	121433	3113
975	121562	2989
976	121680	2864
977	121804	2739
978	121928	2615
979	122051	2490
980	122178	2366
981	122315	2242
982	122437	2117
983	122555	1992
984	122697	1868
985	122831	1744
986	122950	1619
987	123078	1494
988	123200	1370
989	123328	1245
990	123447	1121
991	123570	996
992	123690	871
993	123810	747
994	123928	622
995	124054	498
996	124191	373
997	124319	249
998	124456	124
999	124602	0
